"TIME","GEO","SECTPERF","UNIT","Value","Flag and Footnotes"
"2007","Belgium","Private non-profit sector","Million units of national currency","79.786",""
"2007","Belgium","Private non-profit sector","Million purchasing power standards (PPS)","74.748",""
"2007","Belgium","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","72.803",""
"2007","Bulgaria","All sectors","Million euro","139.609",""
"2007","Bulgaria","All sectors","Euro per inhabitant","18.4",""
"2007","Bulgaria","All sectors","Million units of national currency","273.047",""
"2007","Bulgaria","All sectors","Million purchasing power standards (PPS)","342.551",""
"2007","Bulgaria","All sectors","Million purchasing power standards (PPS) at 2005 prices","328.009",""
"2007","Bulgaria","Business enterprise sector","Million euro","43.494",""
"2007","Bulgaria","Business enterprise sector","Euro per inhabitant","5.7",""
"2007","Bulgaria","Business enterprise sector","Million units of national currency","85.065",""
"2007","Bulgaria","Business enterprise sector","Million purchasing power standards (PPS)","106.718",""
"2007","Bulgaria","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","102.188",""
"2007","Bulgaria","Government sector","Million euro","81.615",""
"2007","Bulgaria","Government sector","Euro per inhabitant","10.8",""
"2007","Bulgaria","Government sector","Million units of national currency","159.622",""
"2007","Bulgaria","Government sector","Million purchasing power standards (PPS)","200.253",""
"2007","Bulgaria","Government sector","Million purchasing power standards (PPS) at 2005 prices","191.752",""
"2007","Bulgaria","Higher education sector","Million euro","13.492",""
"2007","Bulgaria","Higher education sector","Euro per inhabitant","1.8",""
"2007","Bulgaria","Higher education sector","Million units of national currency","26.388",""
"2007","Bulgaria","Higher education sector","Million purchasing power standards (PPS)","33.105",""
"2007","Bulgaria","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","31.7",""
"2007","Bulgaria","Private non-profit sector","Million euro","1.008",""
"2007","Bulgaria","Private non-profit sector","Euro per inhabitant","0.1",""
"2007","Bulgaria","Private non-profit sector","Million units of national currency","1.972",""
"2007","Bulgaria","Private non-profit sector","Million purchasing power standards (PPS)","2.474",""
"2007","Bulgaria","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","2.369",""
"2007","Czech Republic","All sectors","Million euro","1 801.084",""
"2007","Czech Republic","All sectors","Euro per inhabitant","175.6",""
"2007","Czech Republic","All sectors","Million units of national currency","50 008.888",""
"2007","Czech Republic","All sectors","Million purchasing power standards (PPS)","2 888.133",""
"2007","Czech Republic","All sectors","Million purchasing power standards (PPS) at 2005 prices","2 799.623",""
"2007","Czech Republic","Business enterprise sector","Million euro","1 038.355",""
"2007","Czech Republic","Business enterprise sector","Euro per inhabitant","101.3",""
"2007","Czech Republic","Business enterprise sector","Million units of national currency","28 830.971",""
"2007","Czech Republic","Business enterprise sector","Million purchasing power standards (PPS)","1 665.058",""
"2007","Czech Republic","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","1 614.03",""
"2007","Czech Republic","Government sector","Million euro","420.281",""
"2007","Czech Republic","Government sector","Euro per inhabitant","41",""
"2007","Czech Republic","Government sector","Million units of national currency","11 669.52",""
"2007","Czech Republic","Government sector","Million purchasing power standards (PPS)","673.943",""
"2007","Czech Republic","Government sector","Million purchasing power standards (PPS) at 2005 prices","653.289",""
"2007","Czech Republic","Higher education sector","Million euro","335.283",""
"2007","Czech Republic","Higher education sector","Euro per inhabitant","32.7",""
"2007","Czech Republic","Higher education sector","Million units of national currency","9 309.453",""
"2007","Czech Republic","Higher education sector","Million purchasing power standards (PPS)","537.643",""
"2007","Czech Republic","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","521.167",""
"2007","Czech Republic","Private non-profit sector","Million euro","7.165",""
"2007","Czech Republic","Private non-profit sector","Euro per inhabitant","0.7",""
"2007","Czech Republic","Private non-profit sector","Million units of national currency","198.944",""
"2007","Czech Republic","Private non-profit sector","Million purchasing power standards (PPS)","11.49",""
"2007","Czech Republic","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","11.137",""
"2007","Denmark","All sectors","Million euro","5 870.551","b"
"2007","Denmark","All sectors","Euro per inhabitant","1 077.7","b"
"2007","Denmark","All sectors","Million units of national currency","43 739.13","b"
"2007","Denmark","All sectors","Million purchasing power standards (PPS)","4 412.656","b"
"2007","Denmark","All sectors","Million purchasing power standards (PPS) at 2005 prices","4 148.108","b"
"2007","Denmark","Business enterprise sector","Million euro","4 101.884","b"
"2007","Denmark","Business enterprise sector","Euro per inhabitant","753","b"
"2007","Denmark","Business enterprise sector","Million units of national currency","30 561.5","b"
"2007","Denmark","Business enterprise sector","Million purchasing power standards (PPS)","3 083.221","b"
"2007","Denmark","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","2 898.375","b"
"2007","Denmark","Government sector","Million euro","190.057","b"
"2007","Denmark","Government sector","Euro per inhabitant","34.9","b"
"2007","Denmark","Government sector","Million units of national currency","1 416.04","b"
"2007","Denmark","Government sector","Million purchasing power standards (PPS)","142.858","b"
"2007","Denmark","Government sector","Million purchasing power standards (PPS) at 2005 prices","134.294","b"
"2007","Denmark","Higher education sector","Million euro","1 550.557","b"
"2007","Denmark","Higher education sector","Euro per inhabitant","284.7","b"
"2007","Denmark","Higher education sector","Million units of national currency","11 552.58","b"
"2007","Denmark","Higher education sector","Million purchasing power standards (PPS)","1 165.491","b"
"2007","Denmark","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","1 095.617","b"
"2007","Denmark","Private non-profit sector","Million euro","28.053","b"
"2007","Denmark","Private non-profit sector","Euro per inhabitant","5.2","b"
"2007","Denmark","Private non-profit sector","Million units of national currency","209.01","b"
"2007","Denmark","Private non-profit sector","Million purchasing power standards (PPS)","21.086","b"
"2007","Denmark","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","19.822","b"
"2007","Germany (until 1990 former territory of the FRG)","All sectors","Million euro","61 481.981",""
"2007","Germany (until 1990 former territory of the FRG)","All sectors","Euro per inhabitant","746.9",""
"2007","Germany (until 1990 former territory of the FRG)","All sectors","Million units of national currency","61 481.981",""
"2007","Germany (until 1990 former territory of the FRG)","All sectors","Million purchasing power standards (PPS)","60 466.149",""
"2007","Germany (until 1990 former territory of the FRG)","All sectors","Million purchasing power standards (PPS) at 2005 prices","58 687.746",""
"2007","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million euro","43 034",""
"2007","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Euro per inhabitant","522.8",""
"2007","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million units of national currency","43 034",""
"2007","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million purchasing power standards (PPS)","42 322.974",""
"2007","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","41 078.19",""
"2007","Germany (until 1990 former territory of the FRG)","Government sector","Million euro","8 540.2","d"
"2007","Germany (until 1990 former territory of the FRG)","Government sector","Euro per inhabitant","103.8","d"
"2007","Germany (until 1990 former territory of the FRG)","Government sector","Million units of national currency","8 540.2","d"
"2007","Germany (until 1990 former territory of the FRG)","Government sector","Million purchasing power standards (PPS)","8 399.095","d"
"2007","Germany (until 1990 former territory of the FRG)","Government sector","Million purchasing power standards (PPS) at 2005 prices","8 152.065","d"
"2007","Germany (until 1990 former territory of the FRG)","Higher education sector","Million euro","9 907.781",""
"2007","Germany (until 1990 former territory of the FRG)","Higher education sector","Euro per inhabitant","120.4",""
"2007","Germany (until 1990 former territory of the FRG)","Higher education sector","Million units of national currency","9 907.781",""
"2007","Germany (until 1990 former territory of the FRG)","Higher education sector","Million purchasing power standards (PPS)","9 744.08",""
"2007","Germany (until 1990 former territory of the FRG)","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","9 457.492",""
"2007","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million euro",":","d"
"2007","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Euro per inhabitant",":","d"
"2007","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million units of national currency",":","d"
"2007","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million purchasing power standards (PPS)",":","d"
"2007","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":","d"
"2007","Estonia","All sectors","Million euro","173.648",""
"2007","Estonia","All sectors","Euro per inhabitant","129.3",""
"2007","Estonia","All sectors","Million units of national currency","173.648",""
"2007","Estonia","All sectors","Million purchasing power standards (PPS)","259.447",""
"2007","Estonia","All sectors","Million purchasing power standards (PPS) at 2005 prices","241.476",""
"2007","Estonia","Business enterprise sector","Million euro","81.877",""
"2007","Estonia","Business enterprise sector","Euro per inhabitant","61",""
"2007","Estonia","Business enterprise sector","Million units of national currency","81.877",""
"2007","Estonia","Business enterprise sector","Million purchasing power standards (PPS)","122.333",""
"2007","Estonia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","113.859",""
"2007","Estonia","Government sector","Million euro","15.038",""
"2007","Estonia","Government sector","Euro per inhabitant","11.2",""
"2007","Estonia","Government sector","Million units of national currency","15.038",""
"2007","Estonia","Government sector","Million purchasing power standards (PPS)","22.469",""
"2007","Estonia","Government sector","Million purchasing power standards (PPS) at 2005 prices","20.913",""
"2007","Estonia","Higher education sector","Million euro","72.585",""
"2007","Estonia","Higher education sector","Euro per inhabitant","54",""
"2007","Estonia","Higher education sector","Million units of national currency","72.585",""
"2007","Estonia","Higher education sector","Million purchasing power standards (PPS)","108.448",""
"2007","Estonia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","100.936",""
"2007","Estonia","Private non-profit sector","Million euro","4.148",""
"2007","Estonia","Private non-profit sector","Euro per inhabitant","3.1",""
"2007","Estonia","Private non-profit sector","Million units of national currency","4.148",""
"2007","Estonia","Private non-profit sector","Million purchasing power standards (PPS)","6.197",""
"2007","Estonia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","5.768",""
"2007","Ireland","All sectors","Million euro","2 432",""
"2007","Ireland","All sectors","Euro per inhabitant","560.4",""
"2007","Ireland","All sectors","Million units of national currency","2 432",""
"2007","Ireland","All sectors","Million purchasing power standards (PPS)","2 090.964",""
"2007","Ireland","All sectors","Million purchasing power standards (PPS) at 2005 prices","1 957.084",""
"2007","Ireland","Business enterprise sector","Million euro","1 603.2",""
"2007","Ireland","Business enterprise sector","Euro per inhabitant","369.4",""
"2007","Ireland","Business enterprise sector","Million units of national currency","1 603.2",""
"2007","Ireland","Business enterprise sector","Million purchasing power standards (PPS)","1 378.385",""
"2007","Ireland","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","1 290.131",""
"2007","Ireland","Government sector","Million euro","168.8",""
"2007","Ireland","Government sector","Euro per inhabitant","38.9",""
"2007","Ireland","Government sector","Million units of national currency","168.8",""
"2007","Ireland","Government sector","Million purchasing power standards (PPS)","145.129",""
"2007","Ireland","Government sector","Million purchasing power standards (PPS) at 2005 prices","135.837",""
"2007","Ireland","Higher education sector","Million euro","660",""
"2007","Ireland","Higher education sector","Euro per inhabitant","152.1",""
"2007","Ireland","Higher education sector","Million units of national currency","660",""
"2007","Ireland","Higher education sector","Million purchasing power standards (PPS)","567.449",""
"2007","Ireland","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","531.117",""
"2007","Ireland","Private non-profit sector","Million euro",":",""
"2007","Ireland","Private non-profit sector","Euro per inhabitant",":",""
"2007","Ireland","Private non-profit sector","Million units of national currency",":",""
"2007","Ireland","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Ireland","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Greece","All sectors","Million euro","1 341.6","e"
"2007","Greece","All sectors","Euro per inhabitant","121.6","e"
"2007","Greece","All sectors","Million units of national currency","1 341.6","e"
"2007","Greece","All sectors","Million purchasing power standards (PPS)","1 538.003","e"
"2007","Greece","All sectors","Million purchasing power standards (PPS) at 2005 prices","1 502.335","e"
"2007","Greece","Business enterprise sector","Million euro","383.53",""
"2007","Greece","Business enterprise sector","Euro per inhabitant","34.8",""
"2007","Greece","Business enterprise sector","Million units of national currency","383.53",""
"2007","Greece","Business enterprise sector","Million purchasing power standards (PPS)","439.677",""
"2007","Greece","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","429.48",""
"2007","Greece","Government sector","Million euro","280.68","e"
"2007","Greece","Government sector","Euro per inhabitant","25.4","e"
"2007","Greece","Government sector","Million units of national currency","280.68","e"
"2007","Greece","Government sector","Million purchasing power standards (PPS)","321.77","e"
"2007","Greece","Government sector","Million purchasing power standards (PPS) at 2005 prices","314.308","e"
"2007","Greece","Higher education sector","Million euro","660.5","e"
"2007","Greece","Higher education sector","Euro per inhabitant","59.8","e"
"2007","Greece","Higher education sector","Million units of national currency","660.5","e"
"2007","Greece","Higher education sector","Million purchasing power standards (PPS)","757.194","e"
"2007","Greece","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","739.634","e"
"2007","Greece","Private non-profit sector","Million euro","16.9","e"
"2007","Greece","Private non-profit sector","Euro per inhabitant","1.5","e"
"2007","Greece","Private non-profit sector","Million units of national currency","16.9","e"
"2007","Greece","Private non-profit sector","Million purchasing power standards (PPS)","19.374","e"
"2007","Greece","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","18.925","e"
"2007","Spain","All sectors","Million euro","13 342.371",""
"2007","Spain","All sectors","Euro per inhabitant","297.9",""
"2007","Spain","All sectors","Million units of national currency","13 342.371",""
"2007","Spain","All sectors","Million purchasing power standards (PPS)","15 001.541",""
"2007","Spain","All sectors","Million purchasing power standards (PPS) at 2005 prices","13 712.685",""
"2007","Spain","Business enterprise sector","Million euro","7 453.902",""
"2007","Spain","Business enterprise sector","Euro per inhabitant","166.4",""
"2007","Spain","Business enterprise sector","Million units of national currency","7 453.902",""
"2007","Spain","Business enterprise sector","Million purchasing power standards (PPS)","8 380.821",""
"2007","Spain","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","7 660.783",""
"2007","Spain","Government sector","Million euro","2 348.843",""
"2007","Spain","Government sector","Euro per inhabitant","52.4",""
"2007","Spain","Government sector","Million units of national currency","2 348.843",""
"2007","Spain","Government sector","Million purchasing power standards (PPS)","2 640.93",""
"2007","Spain","Government sector","Million purchasing power standards (PPS) at 2005 prices","2 414.035",""
"2007","Spain","Higher education sector","Million euro","3 518.595",""
"2007","Spain","Higher education sector","Euro per inhabitant","78.6",""
"2007","Spain","Higher education sector","Million units of national currency","3 518.595",""
"2007","Spain","Higher education sector","Million purchasing power standards (PPS)","3 956.144",""
"2007","Spain","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","3 616.253",""
"2007","Spain","Private non-profit sector","Million euro","21.031",""
"2007","Spain","Private non-profit sector","Euro per inhabitant","0.5",""
"2007","Spain","Private non-profit sector","Million units of national currency","21.031",""
"2007","Spain","Private non-profit sector","Million purchasing power standards (PPS)","23.646",""
"2007","Spain","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","21.615",""
"2007","France","All sectors","Million euro","39 303.086",""
"2007","France","All sectors","Euro per inhabitant","617.5",""
"2007","France","All sectors","Million units of national currency","39 303.086",""
"2007","France","All sectors","Million purchasing power standards (PPS)","36 415.348",""
"2007","France","All sectors","Million purchasing power standards (PPS) at 2005 prices","34 779.55",""
"2007","France","Business enterprise sector","Million euro","24 752.716",""
"2007","France","Business enterprise sector","Euro per inhabitant","388.9",""
"2007","France","Business enterprise sector","Million units of national currency","24 752.716",""
"2007","France","Business enterprise sector","Million purchasing power standards (PPS)","22 934.046",""
"2007","France","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","21 903.835",""
"2007","France","Government sector","Million euro","6 426.929",""
"2007","France","Government sector","Euro per inhabitant","101",""
"2007","France","Government sector","Million units of national currency","6 426.929",""
"2007","France","Government sector","Million purchasing power standards (PPS)","5 954.72",""
"2007","France","Government sector","Million purchasing power standards (PPS) at 2005 prices","5 687.23",""
"2007","France","Higher education sector","Million euro","7 662.593",""
"2007","France","Higher education sector","Euro per inhabitant","120.4",""
"2007","France","Higher education sector","Million units of national currency","7 662.593",""
"2007","France","Higher education sector","Million purchasing power standards (PPS)","7 099.595",""
"2007","France","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","6 780.677",""
"2007","France","Private non-profit sector","Million euro","460.848",""
"2007","France","Private non-profit sector","Euro per inhabitant","7.2",""
"2007","France","Private non-profit sector","Million units of national currency","460.848",""
"2007","France","Private non-profit sector","Million purchasing power standards (PPS)","426.988",""
"2007","France","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","407.807",""
"2007","Croatia","All sectors","Million euro","348.002",""
"2007","Croatia","All sectors","Euro per inhabitant","80.7",""
"2007","Croatia","All sectors","Million units of national currency","2 553.5",""
"2007","Croatia","All sectors","Million purchasing power standards (PPS)","543.969",""
"2007","Croatia","All sectors","Million purchasing power standards (PPS) at 2005 prices","489.599",""
"2007","Croatia","Business enterprise sector","Million euro","141.436",""
"2007","Croatia","Business enterprise sector","Euro per inhabitant","32.8",""
"2007","Croatia","Business enterprise sector","Million units of national currency","1 037.8",""
"2007","Croatia","Business enterprise sector","Million purchasing power standards (PPS)","221.081",""
"2007","Croatia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","198.984",""
"2007","Croatia","Government sector","Million euro","88.721",""
"2007","Croatia","Government sector","Euro per inhabitant","20.6",""
"2007","Croatia","Government sector","Million units of national currency","651",""
"2007","Croatia","Government sector","Million purchasing power standards (PPS)","138.682",""
"2007","Croatia","Government sector","Million purchasing power standards (PPS) at 2005 prices","124.82",""
"2007","Croatia","Higher education sector","Million euro","117.409",""
"2007","Croatia","Higher education sector","Euro per inhabitant","27.2",""
"2007","Croatia","Higher education sector","Million units of national currency","861.5",""
"2007","Croatia","Higher education sector","Million purchasing power standards (PPS)","183.524",""
"2007","Croatia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","165.181",""
"2007","Croatia","Private non-profit sector","Million euro","0.436",""
"2007","Croatia","Private non-profit sector","Euro per inhabitant","0.1",""
"2007","Croatia","Private non-profit sector","Million units of national currency","3.2",""
"2007","Croatia","Private non-profit sector","Million purchasing power standards (PPS)","0.682",""
"2007","Croatia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","0.614",""
"2007","Italy","All sectors","Million euro","18 231.4",""
"2007","Italy","All sectors","Euro per inhabitant","313.1",""
"2007","Italy","All sectors","Million units of national currency","18 231.4",""
"2007","Italy","All sectors","Million purchasing power standards (PPS)","18 548.581",""
"2007","Italy","All sectors","Million purchasing power standards (PPS) at 2005 prices","17 357.024",""
"2007","Italy","Business enterprise sector","Million euro","9 454.7",""
"2007","Italy","Business enterprise sector","Euro per inhabitant","162.4",""
"2007","Italy","Business enterprise sector","Million units of national currency","9 454.7",""
"2007","Italy","Business enterprise sector","Million purchasing power standards (PPS)","9 619.188",""
"2007","Italy","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","9 001.253",""
"2007","Italy","Government sector","Million euro","2 644.3",""
"2007","Italy","Government sector","Euro per inhabitant","45.4",""
"2007","Italy","Government sector","Million units of national currency","2 644.3",""
"2007","Italy","Government sector","Million purchasing power standards (PPS)","2 690.304",""
"2007","Italy","Government sector","Million purchasing power standards (PPS) at 2005 prices","2 517.48",""
"2007","Italy","Higher education sector","Million euro","5 495.2",""
"2007","Italy","Higher education sector","Euro per inhabitant","94.4",""
"2007","Italy","Higher education sector","Million units of national currency","5 495.2",""
"2007","Italy","Higher education sector","Million purchasing power standards (PPS)","5 590.803",""
"2007","Italy","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","5 231.651",""
"2007","Italy","Private non-profit sector","Million euro","637.2",""
"2007","Italy","Private non-profit sector","Euro per inhabitant","10.9",""
"2007","Italy","Private non-profit sector","Million units of national currency","637.2",""
"2007","Italy","Private non-profit sector","Million purchasing power standards (PPS)","648.286",""
"2007","Italy","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","606.64",""
"2007","Cyprus","All sectors","Million euro","70.375",""
"2007","Cyprus","All sectors","Euro per inhabitant","92.9",""
"2007","Cyprus","All sectors","Million units of national currency","70.058",""
"2007","Cyprus","All sectors","Million purchasing power standards (PPS)","83.096",""
"2007","Cyprus","All sectors","Million purchasing power standards (PPS) at 2005 prices","76.362",""
"2007","Cyprus","Business enterprise sector","Million euro","16.108",""
"2007","Cyprus","Business enterprise sector","Euro per inhabitant","21.3",""
"2007","Cyprus","Business enterprise sector","Million units of national currency","16.035",""
"2007","Cyprus","Business enterprise sector","Million purchasing power standards (PPS)","19.019",""
"2007","Cyprus","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","17.478",""
"2007","Cyprus","Government sector","Million euro","16.993",""
"2007","Cyprus","Government sector","Euro per inhabitant","22.4",""
"2007","Cyprus","Government sector","Million units of national currency","16.917",""
"2007","Cyprus","Government sector","Million purchasing power standards (PPS)","20.065",""
"2007","Cyprus","Government sector","Million purchasing power standards (PPS) at 2005 prices","18.439",""
"2007","Cyprus","Higher education sector","Million euro","31.864",""
"2007","Cyprus","Higher education sector","Euro per inhabitant","42",""
"2007","Cyprus","Higher education sector","Million units of national currency","31.72",""
"2007","Cyprus","Higher education sector","Million purchasing power standards (PPS)","37.623",""
"2007","Cyprus","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","34.575",""
"2007","Cyprus","Private non-profit sector","Million euro","5.41",""
"2007","Cyprus","Private non-profit sector","Euro per inhabitant","7.1",""
"2007","Cyprus","Private non-profit sector","Million units of national currency","5.386",""
"2007","Cyprus","Private non-profit sector","Million purchasing power standards (PPS)","6.388",""
"2007","Cyprus","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","5.87",""
"2007","Latvia","All sectors","Million euro","125.59",""
"2007","Latvia","All sectors","Euro per inhabitant","56.9",""
"2007","Latvia","All sectors","Million units of national currency","125.113",""
"2007","Latvia","All sectors","Million purchasing power standards (PPS)","182.089",""
"2007","Latvia","All sectors","Million purchasing power standards (PPS) at 2005 prices","179.492",""
"2007","Latvia","Business enterprise sector","Million euro","40.884",""
"2007","Latvia","Business enterprise sector","Euro per inhabitant","18.5",""
"2007","Latvia","Business enterprise sector","Million units of national currency","40.728",""
"2007","Latvia","Business enterprise sector","Million purchasing power standards (PPS)","59.276",""
