"TIME","GEO","NABS07","UNIT","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Industrial production and technology","Million purchasing power standards (PPS) at 2005 prices","7 957.288",""
"2008","European Union (28 countries)","Health","Million euro","7 292.384",""
"2008","European Union (28 countries)","Health","Euro per inhabitant","14.6",""
"2008","European Union (28 countries)","Health","Million units of national currency",":",""
"2008","European Union (28 countries)","Health","Million purchasing power standards (PPS)","7 155.387",""
"2008","European Union (28 countries)","Health","Million purchasing power standards (PPS) at 2005 prices","6 811.043",""
"2008","European Union (28 countries)","Agriculture","Million euro","3 281.868",""
"2008","European Union (28 countries)","Agriculture","Euro per inhabitant","6.6",""
"2008","European Union (28 countries)","Agriculture","Million units of national currency",":",""
"2008","European Union (28 countries)","Agriculture","Million purchasing power standards (PPS)","3 361.885",""
"2008","European Union (28 countries)","Agriculture","Million purchasing power standards (PPS) at 2005 prices","3 179.949",""
"2008","European Union (28 countries)","Education","Million euro","931.886",""
"2008","European Union (28 countries)","Education","Euro per inhabitant","1.9",""
"2008","European Union (28 countries)","Education","Million units of national currency",":",""
"2008","European Union (28 countries)","Education","Million purchasing power standards (PPS)","944.261",""
"2008","European Union (28 countries)","Education","Million purchasing power standards (PPS) at 2005 prices","890.719",""
"2008","European Union (28 countries)","Culture, recreation, religion and mass media","Million euro","1 059.273",""
"2008","European Union (28 countries)","Culture, recreation, religion and mass media","Euro per inhabitant","2.1",""
"2008","European Union (28 countries)","Culture, recreation, religion and mass media","Million units of national currency",":",""
"2008","European Union (28 countries)","Culture, recreation, religion and mass media","Million purchasing power standards (PPS)","1 080.553",""
"2008","European Union (28 countries)","Culture, recreation, religion and mass media","Million purchasing power standards (PPS) at 2005 prices","1 034.492",""
"2008","European Union (28 countries)","Political and social systems, structures and processes","Million euro","2 846.516",""
"2008","European Union (28 countries)","Political and social systems, structures and processes","Euro per inhabitant","5.7",""
"2008","European Union (28 countries)","Political and social systems, structures and processes","Million units of national currency",":",""
"2008","European Union (28 countries)","Political and social systems, structures and processes","Million purchasing power standards (PPS)","2 763.921",""
"2008","European Union (28 countries)","Political and social systems, structures and processes","Million purchasing power standards (PPS) at 2005 prices","2 615.653",""
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million euro","27 165.185","e"
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Euro per inhabitant","54.3","e"
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million units of national currency",":",""
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS)","26 134.348","e"
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS) at 2005 prices","25 031.725","e"
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million euro","15 857.31",""
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Euro per inhabitant","31.7",""
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million units of national currency",":",""
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS)","15 767.303",""
"2008","European Union (28 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS) at 2005 prices","15 132.282",""
"2008","European Union (28 countries)","Defence","Million euro","8 271.602",""
"2008","European Union (28 countries)","Defence","Euro per inhabitant","16.5",""
"2008","European Union (28 countries)","Defence","Million units of national currency",":",""
"2008","European Union (28 countries)","Defence","Million purchasing power standards (PPS)","7 607.156",""
"2008","European Union (28 countries)","Defence","Million purchasing power standards (PPS) at 2005 prices","7 361.608",""
"2008","European Union (28 countries)","Total civil R&D appropriations","Million euro","81 611.229",""
"2008","European Union (28 countries)","Total civil R&D appropriations","Euro per inhabitant","163.1",""
"2008","European Union (28 countries)","Total civil R&D appropriations","Million units of national currency",":",""
"2008","European Union (28 countries)","Total civil R&D appropriations","Million purchasing power standards (PPS)","80 175.967",""
"2008","European Union (28 countries)","Total civil R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","76 572.227",""
"2008","European Union (28 countries)","Total R&D appropriations","Million euro","89 882.831",""
"2008","European Union (28 countries)","Total R&D appropriations","Euro per inhabitant","179.7",""
"2008","European Union (28 countries)","Total R&D appropriations","Million units of national currency",":",""
"2008","European Union (28 countries)","Total R&D appropriations","Million purchasing power standards (PPS)","87 783.123",""
"2008","European Union (28 countries)","Total R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","83 933.835",""
"2008","Euro area (19 countries)","Exploration and exploitation of the earth","Million euro","1 109.649",""
"2008","Euro area (19 countries)","Exploration and exploitation of the earth","Euro per inhabitant","3.3",""
"2008","Euro area (19 countries)","Exploration and exploitation of the earth","Million units of national currency",":",""
"2008","Euro area (19 countries)","Exploration and exploitation of the earth","Million purchasing power standards (PPS)","1 108.481",""
"2008","Euro area (19 countries)","Exploration and exploitation of the earth","Million purchasing power standards (PPS) at 2005 prices","1 056.696",""
"2008","Euro area (19 countries)","Environment","Million euro","2 061.575",""
"2008","Euro area (19 countries)","Environment","Euro per inhabitant","6.2",""
"2008","Euro area (19 countries)","Environment","Million units of national currency",":",""
"2008","Euro area (19 countries)","Environment","Million purchasing power standards (PPS)","2 052.134",""
"2008","Euro area (19 countries)","Environment","Million purchasing power standards (PPS) at 2005 prices","1 951.225",""
"2008","Euro area (19 countries)","Exploration and exploitation of space","Million euro","3 621.147",""
"2008","Euro area (19 countries)","Exploration and exploitation of space","Euro per inhabitant","10.9",""
"2008","Euro area (19 countries)","Exploration and exploitation of space","Million units of national currency",":",""
"2008","Euro area (19 countries)","Exploration and exploitation of space","Million purchasing power standards (PPS)","3 440.715",""
"2008","Euro area (19 countries)","Exploration and exploitation of space","Million purchasing power standards (PPS) at 2005 prices","3 297.773",""
"2008","Euro area (19 countries)","Transport, telecommunication and other infrastructures","Million euro","2 967.381",""
"2008","Euro area (19 countries)","Transport, telecommunication and other infrastructures","Euro per inhabitant","8.9",""
"2008","Euro area (19 countries)","Transport, telecommunication and other infrastructures","Million units of national currency",":",""
"2008","Euro area (19 countries)","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS)","2 908.053",""
"2008","Euro area (19 countries)","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS) at 2005 prices","2 763.864",""
"2008","Euro area (19 countries)","Energy","Million euro","2 981.058",""
"2008","Euro area (19 countries)","Energy","Euro per inhabitant","8.9",""
"2008","Euro area (19 countries)","Energy","Million units of national currency",":",""
"2008","Euro area (19 countries)","Energy","Million purchasing power standards (PPS)","2 884.476",""
"2008","Euro area (19 countries)","Energy","Million purchasing power standards (PPS) at 2005 prices","2 748.727",""
"2008","Euro area (19 countries)","Industrial production and technology","Million euro","7 238.151",""
"2008","Euro area (19 countries)","Industrial production and technology","Euro per inhabitant","21.7",""
"2008","Euro area (19 countries)","Industrial production and technology","Million units of national currency",":",""
"2008","Euro area (19 countries)","Industrial production and technology","Million purchasing power standards (PPS)","7 096.88",""
"2008","Euro area (19 countries)","Industrial production and technology","Million purchasing power standards (PPS) at 2005 prices","6 781.302",""
"2008","Euro area (19 countries)","Health","Million euro","4 807.02",""
"2008","Euro area (19 countries)","Health","Euro per inhabitant","14.4",""
"2008","Euro area (19 countries)","Health","Million units of national currency",":",""
"2008","Euro area (19 countries)","Health","Million purchasing power standards (PPS)","4 798.41",""
"2008","Euro area (19 countries)","Health","Million purchasing power standards (PPS) at 2005 prices","4 535.4",""
"2008","Euro area (19 countries)","Agriculture","Million euro","2 662.664",""
"2008","Euro area (19 countries)","Agriculture","Euro per inhabitant","8",""
"2008","Euro area (19 countries)","Agriculture","Million units of national currency",":",""
"2008","Euro area (19 countries)","Agriculture","Million purchasing power standards (PPS)","2 673.14",""
"2008","Euro area (19 countries)","Agriculture","Million purchasing power standards (PPS) at 2005 prices","2 529.613",""
"2008","Euro area (19 countries)","Education","Million euro","758.396",""
"2008","Euro area (19 countries)","Education","Euro per inhabitant","2.3",""
"2008","Euro area (19 countries)","Education","Million units of national currency",":",""
"2008","Euro area (19 countries)","Education","Million purchasing power standards (PPS)","764.927",""
"2008","Euro area (19 countries)","Education","Million purchasing power standards (PPS) at 2005 prices","723.44",""
"2008","Euro area (19 countries)","Culture, recreation, religion and mass media","Million euro","763.639",""
"2008","Euro area (19 countries)","Culture, recreation, religion and mass media","Euro per inhabitant","2.3",""
"2008","Euro area (19 countries)","Culture, recreation, religion and mass media","Million units of national currency",":",""
"2008","Euro area (19 countries)","Culture, recreation, religion and mass media","Million purchasing power standards (PPS)","802.569",""
"2008","Euro area (19 countries)","Culture, recreation, religion and mass media","Million purchasing power standards (PPS) at 2005 prices","766.07",""
"2008","Euro area (19 countries)","Political and social systems, structures and processes","Million euro","2 495.45",""
"2008","Euro area (19 countries)","Political and social systems, structures and processes","Euro per inhabitant","7.5",""
"2008","Euro area (19 countries)","Political and social systems, structures and processes","Million units of national currency",":",""
"2008","Euro area (19 countries)","Political and social systems, structures and processes","Million purchasing power standards (PPS)","2 426.615",""
"2008","Euro area (19 countries)","Political and social systems, structures and processes","Million purchasing power standards (PPS) at 2005 prices","2 292.566",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million euro","21 880.734",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Euro per inhabitant","65.7",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million units of national currency",":",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS)","21 265.463",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS) at 2005 prices","20 388.469",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million euro","11 509.234",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Euro per inhabitant","34.6",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million units of national currency",":",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS)","11 122.389",""
"2008","Euro area (19 countries)","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS) at 2005 prices","10 703.344",""
"2008","Euro area (19 countries)","Defence","Million euro","5 340.436",""
"2008","Euro area (19 countries)","Defence","Euro per inhabitant","16",""
"2008","Euro area (19 countries)","Defence","Million units of national currency",":",""
"2008","Euro area (19 countries)","Defence","Million purchasing power standards (PPS)","4 941.488",""
"2008","Euro area (19 countries)","Defence","Million purchasing power standards (PPS) at 2005 prices","4 767.566",""
"2008","Euro area (19 countries)","Total civil R&D appropriations","Million euro","64 856.098",""
"2008","Euro area (19 countries)","Total civil R&D appropriations","Euro per inhabitant","194.7",""
"2008","Euro area (19 countries)","Total civil R&D appropriations","Million units of national currency",":",""
"2008","Euro area (19 countries)","Total civil R&D appropriations","Million purchasing power standards (PPS)","63 344.252",""
"2008","Euro area (19 countries)","Total civil R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","60 538.488",""
"2008","Euro area (19 countries)","Total R&D appropriations","Million euro","70 196.534",""
"2008","Euro area (19 countries)","Total R&D appropriations","Euro per inhabitant","210.7",""
"2008","Euro area (19 countries)","Total R&D appropriations","Million units of national currency",":",""
"2008","Euro area (19 countries)","Total R&D appropriations","Million purchasing power standards (PPS)","68 285.739",""
"2008","Euro area (19 countries)","Total R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","65 306.054",""
"2008","Belgium","Exploration and exploitation of the earth","Million euro","22.337",""
"2008","Belgium","Exploration and exploitation of the earth","Euro per inhabitant","2.1",""
"2008","Belgium","Exploration and exploitation of the earth","Million units of national currency","22.337",""
"2008","Belgium","Exploration and exploitation of the earth","Million purchasing power standards (PPS)","20.364",""
"2008","Belgium","Exploration and exploitation of the earth","Million purchasing power standards (PPS) at 2005 prices","19.992",""
"2008","Belgium","Environment","Million euro","48.099",""
"2008","Belgium","Environment","Euro per inhabitant","4.5",""
"2008","Belgium","Environment","Million units of national currency","48.099",""
"2008","Belgium","Environment","Million purchasing power standards (PPS)","43.85",""
"2008","Belgium","Environment","Million purchasing power standards (PPS) at 2005 prices","43.049",""
"2008","Belgium","Exploration and exploitation of space","Million euro","276.069",""
"2008","Belgium","Exploration and exploitation of space","Euro per inhabitant","25.9",""
"2008","Belgium","Exploration and exploitation of space","Million units of national currency","276.069",""
"2008","Belgium","Exploration and exploitation of space","Million purchasing power standards (PPS)","251.681",""
"2008","Belgium","Exploration and exploitation of space","Million purchasing power standards (PPS) at 2005 prices","247.084",""
"2008","Belgium","Transport, telecommunication and other infrastructures","Million euro","43.987",""
"2008","Belgium","Transport, telecommunication and other infrastructures","Euro per inhabitant","4.1",""
"2008","Belgium","Transport, telecommunication and other infrastructures","Million units of national currency","43.987",""
"2008","Belgium","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS)","40.101",""
"2008","Belgium","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS) at 2005 prices","39.369",""
"2008","Belgium","Energy","Million euro","36.299",""
"2008","Belgium","Energy","Euro per inhabitant","3.4",""
"2008","Belgium","Energy","Million units of national currency","36.299",""
"2008","Belgium","Energy","Million purchasing power standards (PPS)","33.092",""
"2008","Belgium","Energy","Million purchasing power standards (PPS) at 2005 prices","32.488",""
"2008","Belgium","Industrial production and technology","Million euro","790.391",""
"2008","Belgium","Industrial production and technology","Euro per inhabitant","74.1",""
"2008","Belgium","Industrial production and technology","Million units of national currency","790.391",""
"2008","Belgium","Industrial production and technology","Million purchasing power standards (PPS)","720.568",""
"2008","Belgium","Industrial production and technology","Million purchasing power standards (PPS) at 2005 prices","707.406",""
"2008","Belgium","Health","Million euro","46.619",""
"2008","Belgium","Health","Euro per inhabitant","4.4",""
"2008","Belgium","Health","Million units of national currency","46.619",""
"2008","Belgium","Health","Million purchasing power standards (PPS)","42.501",""
"2008","Belgium","Health","Million purchasing power standards (PPS) at 2005 prices","41.725",""
"2008","Belgium","Agriculture","Million euro","30.097",""
"2008","Belgium","Agriculture","Euro per inhabitant","2.8",""
"2008","Belgium","Agriculture","Million units of national currency","30.097",""
"2008","Belgium","Agriculture","Million purchasing power standards (PPS)","27.439",""
"2008","Belgium","Agriculture","Million purchasing power standards (PPS) at 2005 prices","26.937",""
"2008","Belgium","Education","Million euro","6.301",""
"2008","Belgium","Education","Euro per inhabitant","0.6",""
"2008","Belgium","Education","Million units of national currency","6.301",""
"2008","Belgium","Education","Million purchasing power standards (PPS)","5.745",""
"2008","Belgium","Education","Million purchasing power standards (PPS) at 2005 prices","5.64",""
"2008","Belgium","Culture, recreation, religion and mass media","Million euro","47.404",""
"2008","Belgium","Culture, recreation, religion and mass media","Euro per inhabitant","4.4",""
"2008","Belgium","Culture, recreation, religion and mass media","Million units of national currency","47.404",""
"2008","Belgium","Culture, recreation, religion and mass media","Million purchasing power standards (PPS)","43.216",""
"2008","Belgium","Culture, recreation, religion and mass media","Million purchasing power standards (PPS) at 2005 prices","42.427",""
"2008","Belgium","Political and social systems, structures and processes","Million euro","71.548",""
"2008","Belgium","Political and social systems, structures and processes","Euro per inhabitant","6.7",""
"2008","Belgium","Political and social systems, structures and processes","Million units of national currency","71.548",""
"2008","Belgium","Political and social systems, structures and processes","Million purchasing power standards (PPS)","65.227",""
"2008","Belgium","Political and social systems, structures and processes","Million purchasing power standards (PPS) at 2005 prices","64.036",""
"2008","Belgium","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million euro","367.593",""
"2008","Belgium","General advancement of knowledge: R&D financed from General University Funds (GUF)","Euro per inhabitant","34.5",""
"2008","Belgium","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million units of national currency","367.593",""
"2008","Belgium","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS)","335.12",""
"2008","Belgium","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS) at 2005 prices","328.998",""
"2008","Belgium","General advancement of knowledge: R&D financed from other sources than GUF","Million euro","552.097",""
"2008","Belgium","General advancement of knowledge: R&D financed from other sources than GUF","Euro per inhabitant","51.8",""
"2008","Belgium","General advancement of knowledge: R&D financed from other sources than GUF","Million units of national currency","552.097",""
"2008","Belgium","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS)","503.325",""
"2008","Belgium","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS) at 2005 prices","494.131",""
"2008","Belgium","Defence","Million euro","5.63",""
"2008","Belgium","Defence","Euro per inhabitant","0.5",""
"2008","Belgium","Defence","Million units of national currency","5.63",""
"2008","Belgium","Defence","Million purchasing power standards (PPS)","5.133",""
"2008","Belgium","Defence","Million purchasing power standards (PPS) at 2005 prices","5.039",""
"2008","Belgium","Total civil R&D appropriations","Million euro","2 338.841",""
"2008","Belgium","Total civil R&D appropriations","Euro per inhabitant","219.3",""
"2008","Belgium","Total civil R&D appropriations","Million units of national currency","2 338.841",""
"2008","Belgium","Total civil R&D appropriations","Million purchasing power standards (PPS)","2 132.228",""
"2008","Belgium","Total civil R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","2 093.282",""
"2008","Belgium","Total R&D appropriations","Million euro","2 344.471",""
"2008","Belgium","Total R&D appropriations","Euro per inhabitant","219.8",""
"2008","Belgium","Total R&D appropriations","Million units of national currency","2 344.471",""
"2008","Belgium","Total R&D appropriations","Million purchasing power standards (PPS)","2 137.361",""
"2008","Belgium","Total R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","2 098.321",""
"2008","Bulgaria","Exploration and exploitation of the earth","Million euro","10.423",""
"2008","Bulgaria","Exploration and exploitation of the earth","Euro per inhabitant","1.4",""
"2008","Bulgaria","Exploration and exploitation of the earth","Million units of national currency","20.385",""
"2008","Bulgaria","Exploration and exploitation of the earth","Million purchasing power standards (PPS)","23.775",""
"2008","Bulgaria","Exploration and exploitation of the earth","Million purchasing power standards (PPS) at 2005 prices","22.647",""
"2008","Bulgaria","Environment","Million euro","0.851",""
"2008","Bulgaria","Environment","Euro per inhabitant","0.1",""
"2008","Bulgaria","Environment","Million units of national currency","1.664",""
"2008","Bulgaria","Environment","Million purchasing power standards (PPS)","1.941",""
"2008","Bulgaria","Environment","Million purchasing power standards (PPS) at 2005 prices","1.849",""
"2008","Bulgaria","Exploration and exploitation of space","Million euro","2.028",""
"2008","Bulgaria","Exploration and exploitation of space","Euro per inhabitant","0.3",""
"2008","Bulgaria","Exploration and exploitation of space","Million units of national currency","3.966",""
"2008","Bulgaria","Exploration and exploitation of space","Million purchasing power standards (PPS)","4.626",""
"2008","Bulgaria","Exploration and exploitation of space","Million purchasing power standards (PPS) at 2005 prices","4.406",""
"2008","Bulgaria","Transport, telecommunication and other infrastructures","Million euro","1.094",""
"2008","Bulgaria","Transport, telecommunication and other infrastructures","Euro per inhabitant","0.1",""
"2008","Bulgaria","Transport, telecommunication and other infrastructures","Million units of national currency","2.14",""
"2008","Bulgaria","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS)","2.496",""
"2008","Bulgaria","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS) at 2005 prices","2.378",""
"2008","Bulgaria","Energy","Million euro","10.019",""
"2008","Bulgaria","Energy","Euro per inhabitant","1.3",""
"2008","Bulgaria","Energy","Million units of national currency","19.596",""
"2008","Bulgaria","Energy","Million purchasing power standards (PPS)","22.855",""
"2008","Bulgaria","Energy","Million purchasing power standards (PPS) at 2005 prices","21.771",""
"2008","Bulgaria","Industrial production and technology","Million euro","11.676",""
"2008","Bulgaria","Industrial production and technology","Euro per inhabitant","1.6",""
"2008","Bulgaria","Industrial production and technology","Million units of national currency","22.835",""
"2008","Bulgaria","Industrial production and technology","Million purchasing power standards (PPS)","26.633",""
"2008","Bulgaria","Industrial production and technology","Million purchasing power standards (PPS) at 2005 prices","25.369",""
"2008","Bulgaria","Health","Million euro","0.46",""
"2008","Bulgaria","Health","Euro per inhabitant","0.1",""
"2008","Bulgaria","Health","Million units of national currency","0.899",""
"2008","Bulgaria","Health","Million purchasing power standards (PPS)","1.049",""
"2008","Bulgaria","Health","Million purchasing power standards (PPS) at 2005 prices","0.999",""
"2008","Bulgaria","Agriculture","Million euro","24.964",""
"2008","Bulgaria","Agriculture","Euro per inhabitant","3.3",""
"2008","Bulgaria","Agriculture","Million units of national currency","48.825",""
"2008","Bulgaria","Agriculture","Million purchasing power standards (PPS)","56.945",""
"2008","Bulgaria","Agriculture","Million purchasing power standards (PPS) at 2005 prices","54.243",""
"2008","Bulgaria","Education","Million euro","2.303",""
"2008","Bulgaria","Education","Euro per inhabitant","0.3",""
"2008","Bulgaria","Education","Million units of national currency","4.504",""
"2008","Bulgaria","Education","Million purchasing power standards (PPS)","5.253",""
"2008","Bulgaria","Education","Million purchasing power standards (PPS) at 2005 prices","5.004",""
"2008","Bulgaria","Culture, recreation, religion and mass media","Million euro","0.15",""
"2008","Bulgaria","Culture, recreation, religion and mass media","Euro per inhabitant","0",""
"2008","Bulgaria","Culture, recreation, religion and mass media","Million units of national currency","0.293",""
"2008","Bulgaria","Culture, recreation, religion and mass media","Million purchasing power standards (PPS)","0.342",""
"2008","Bulgaria","Culture, recreation, religion and mass media","Million purchasing power standards (PPS) at 2005 prices","0.326",""
"2008","Bulgaria","Political and social systems, structures and processes","Million euro","2.639",""
"2008","Bulgaria","Political and social systems, structures and processes","Euro per inhabitant","0.4",""
"2008","Bulgaria","Political and social systems, structures and processes","Million units of national currency","5.161",""
"2008","Bulgaria","Political and social systems, structures and processes","Million purchasing power standards (PPS)","6.019",""
"2008","Bulgaria","Political and social systems, structures and processes","Million purchasing power standards (PPS) at 2005 prices","5.734",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million euro","4.557",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from General University Funds (GUF)","Euro per inhabitant","0.6",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million units of national currency","8.912",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS)","10.394",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from General University Funds (GUF)","Million purchasing power standards (PPS) at 2005 prices","9.901",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from other sources than GUF","Million euro","36.997",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from other sources than GUF","Euro per inhabitant","4.9",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from other sources than GUF","Million units of national currency","72.359",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS)","84.394",""
"2008","Bulgaria","General advancement of knowledge: R&D financed from other sources than GUF","Million purchasing power standards (PPS) at 2005 prices","80.389",""
"2008","Bulgaria","Defence","Million euro","0.486",""
"2008","Bulgaria","Defence","Euro per inhabitant","0.1",""
"2008","Bulgaria","Defence","Million units of national currency","0.95",""
"2008","Bulgaria","Defence","Million purchasing power standards (PPS)","1.108",""
"2008","Bulgaria","Defence","Million purchasing power standards (PPS) at 2005 prices","1.055",""
"2008","Bulgaria","Total civil R&D appropriations","Million euro","108.16",""
"2008","Bulgaria","Total civil R&D appropriations","Euro per inhabitant","14.4",""
"2008","Bulgaria","Total civil R&D appropriations","Million units of national currency","211.539",""
"2008","Bulgaria","Total civil R&D appropriations","Million purchasing power standards (PPS)","246.722",""
"2008","Bulgaria","Total civil R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","235.014",""
"2008","Bulgaria","Total R&D appropriations","Million euro","108.646",""
"2008","Bulgaria","Total R&D appropriations","Euro per inhabitant","14.5",""
"2008","Bulgaria","Total R&D appropriations","Million units of national currency","212.489",""
"2008","Bulgaria","Total R&D appropriations","Million purchasing power standards (PPS)","247.83",""
"2008","Bulgaria","Total R&D appropriations","Million purchasing power standards (PPS) at 2005 prices","236.07",""
"2008","Czech Republic","Exploration and exploitation of the earth","Million euro","17.408",""
"2008","Czech Republic","Exploration and exploitation of the earth","Euro per inhabitant","1.7",""
"2008","Czech Republic","Exploration and exploitation of the earth","Million units of national currency","434.253",""
"2008","Czech Republic","Exploration and exploitation of the earth","Million purchasing power standards (PPS)","24.662",""
"2008","Czech Republic","Exploration and exploitation of the earth","Million purchasing power standards (PPS) at 2005 prices","23.821",""
"2008","Czech Republic","Environment","Million euro","23.261",""
"2008","Czech Republic","Environment","Euro per inhabitant","2.2",""
"2008","Czech Republic","Environment","Million units of national currency","580.274",""
"2008","Czech Republic","Environment","Million purchasing power standards (PPS)","32.954",""
"2008","Czech Republic","Environment","Million purchasing power standards (PPS) at 2005 prices","31.831",""
"2008","Czech Republic","Exploration and exploitation of space","Million euro","13.611",""
"2008","Czech Republic","Exploration and exploitation of space","Euro per inhabitant","1.3",""
"2008","Czech Republic","Exploration and exploitation of space","Million units of national currency","339.529",""
"2008","Czech Republic","Exploration and exploitation of space","Million purchasing power standards (PPS)","19.282",""
"2008","Czech Republic","Exploration and exploitation of space","Million purchasing power standards (PPS) at 2005 prices","18.625",""
